target_id,cohort_group,sample_or_asset_id,target_role,modality,source_access,source_url,public_finding,expected_signal,probe_key,artifact_path,target_status,pipeline_confirmation,public_documentation_alignment,evidence_type,public_finding_result,blockers,next_action,clinical_use_allowed,no_call_policy
hcc1395_wes_tumor_fastq,seqc2_hcc1395,HCC1395,tumor,tumor_normal_wes,yes,https://sites.google.com/view/seqc2/home/data-analysis/high-confidence-somatic-snv-and-indel-v1-2,HCC1395 is the SEQC2 tumor member for public WES somatic truth benchmarking,Full WES FASTQs validate and BAM QC passes,hcc1395_wes_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wes_summary.json,expanded_non_dry_passed,full_wes_public_truth_confirmed,aligned,existing_full_wes_non_dry_artifact,SEQC2/HCC1395 full WES benchmark passed with 1122 exact truth matches and 0.9842 precision.,,,no,No-call unless full public WES FASTQs and truth-overlap benchmark artifacts pass.
hcc1395_wes_normal_fastq,seqc2_hcc1395,HCC1395BL,normal,tumor_normal_wes,yes,https://sites.google.com/view/seqc2/home/data-analysis/high-confidence-somatic-snv-and-indel-v1-2,HCC1395BL is the matched normal member for public WES somatic truth benchmarking,Full WES matched normal validates and BAM QC passes,hcc1395_wes_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wes_summary.json,expanded_non_dry_passed,full_wes_public_truth_confirmed,aligned,existing_full_wes_non_dry_artifact,SEQC2/HCC1395 full WES benchmark passed with 1122 exact truth matches and 0.9842 precision.,,,no,No-call unless matched normal WES FASTQs and benchmark artifacts pass.
hcc1395_wes_truth_overlap,seqc2_hcc1395,SEQC2_HCC1395_WES_truth,truth_small_variant,tumor_normal_wes,yes,https://sites.google.com/view/seqc2/home/data-analysis/high-confidence-somatic-snv-and-indel-v1-2,SEQC2 HCC1395 high-confidence somatic SNV and indel truth supports WES recall and precision benchmarking,Truth-overlap precision and recall are reported,hcc1395_wes_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wes_summary.json,expanded_non_dry_passed,full_wes_public_truth_confirmed,aligned,existing_full_wes_non_dry_artifact,SEQC2/HCC1395 full WES benchmark passed with 1122 exact truth matches and 0.9842 precision.,,,no,No-call unless exact truth-overlap counts and recall precision are reported.
hcc1395_wes_contamination,seqc2_hcc1395,HCC1395_WES_contamination_qc,qc,tumor_normal_wes,yes,https://gatk.broadinstitute.org/hc/en-us/articles/360035889791-CalculateContamination,Somatic WES validation should include contamination estimation for tumor-normal calling,Contamination status passes in the WES benchmark,hcc1395_wes_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wes_summary.json,expanded_non_dry_passed,full_wes_public_truth_confirmed,aligned,existing_full_wes_non_dry_artifact,SEQC2/HCC1395 full WES benchmark passed with 1122 exact truth matches and 0.9842 precision.,,,no,No-call unless contamination status is present and passing.
hcc1395_wgs_tumor_fastq,seqc2_hcc1395,HCC1395,tumor,tumor_normal_wgs,yes,https://docs.nvidia.com/clara/parabricks/How-Tos/SomaticCalling.html,HCC1395 SRR7890824 is a public tumor WGS sample for somatic tumor-normal benchmarking,Full-source WGS tumor FASTQ validation is represented,hcc1395_wgs_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wgs_summary.json,expanded_non_dry_passed,full_wgs_public_truth_confirmed,aligned,existing_full_source_wgs_non_dry_artifact,"SEQC2/HCC1395 full-source WGS artifact passed with 268 exact truth matches, 631 CNV bins, 265 SBS96 SNVs, and SV evidence.",,,no,No-call unless full-source WGS artifacts are available.
hcc1395_wgs_normal_fastq,seqc2_hcc1395,HCC1395BL,normal,tumor_normal_wgs,yes,https://docs.nvidia.com/clara/parabricks/How-Tos/SomaticCalling.html,HCC1395BL SRR7890827 is a public normal WGS sample paired with HCC1395,Full-source WGS normal FASTQ validation is represented,hcc1395_wgs_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wgs_summary.json,expanded_non_dry_passed,full_wgs_public_truth_confirmed,aligned,existing_full_source_wgs_non_dry_artifact,"SEQC2/HCC1395 full-source WGS artifact passed with 268 exact truth matches, 631 CNV bins, 265 SBS96 SNVs, and SV evidence.",,,no,No-call unless matched full-source WGS artifacts are available.
hcc1395_wgs_truth_depth,seqc2_hcc1395,SEQC2_HCC1395_WGS_truth_depth,truth_small_variant,tumor_normal_wgs,yes,https://sites.google.com/view/seqc2/home/data-analysis/high-confidence-somatic-snv-and-indel-v1-2,SEQC2 high-confidence regions support WGS truth-depth and small-variant checks,Truth depth and exact pass matches are reported,hcc1395_wgs_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wgs_summary.json,expanded_non_dry_passed,full_wgs_public_truth_confirmed,aligned,existing_full_source_wgs_non_dry_artifact,"SEQC2/HCC1395 full-source WGS artifact passed with 268 exact truth matches, 631 CNV bins, 265 SBS96 SNVs, and SV evidence.",,,no,No-call unless full-source WGS truth-depth artifacts pass.
hcc1395_wgs_cnv_bins,seqc2_hcc1395,HCC1395_WGS_CNV_bins,coverage_cnv,tumor_normal_wgs,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8532138/,HCC1395 copy-number changes are expected in breast cancer reference material and should exercise CNV mechanics,Coverage CNV bins pass,hcc1395_wgs_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wgs_summary.json,expanded_non_dry_passed,full_wgs_public_truth_confirmed,aligned,existing_full_source_wgs_non_dry_artifact,"SEQC2/HCC1395 full-source WGS artifact passed with 268 exact truth matches, 631 CNV bins, 265 SBS96 SNVs, and SV evidence.",,,no,No-call unless coverage CNV bins are produced.
hcc1395_wgs_sbs96,seqc2_hcc1395,HCC1395_WGS_SBS96,mutational_signature,tumor_normal_wgs,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8532138/,HCC1395 WGS should produce enough somatic SNV context to exercise SBS96 matrix generation,SBS96 matrix passes with usable SNV records,hcc1395_wgs_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wgs_summary.json,expanded_non_dry_passed,full_wgs_public_truth_confirmed,aligned,existing_full_source_wgs_non_dry_artifact,"SEQC2/HCC1395 full-source WGS artifact passed with 268 exact truth matches, 631 CNV bins, 265 SBS96 SNVs, and SV evidence.",,,no,No-call unless SBS96 matrix artifacts pass.
hcc1395_wgs_sv_evidence,seqc2_hcc1395,HCC1395_WGS_SV_evidence,sv_evidence,tumor_normal_wgs,yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC8532138/,HCC1395 WGS should exercise structural-variant evidence mechanics,SV evidence artifact passes,hcc1395_wgs_summary,results/clinicalization/known_answer_runs/expanded_cohort/hcc1395_wgs_summary.json,expanded_non_dry_passed,full_wgs_public_truth_confirmed,aligned,existing_full_source_wgs_non_dry_artifact,"SEQC2/HCC1395 full-source WGS artifact passed with 268 exact truth matches, 631 CNV bins, 265 SBS96 SNVs, and SV evidence.",,,no,No-call unless SV evidence artifacts pass.
