target_id,gene_symbol,display_name,target_family,overall_status,candidate_class,dna_status,rna_status,protein_status,sample_support_summary,sample_blockers,research_context_status,recommended_followup,clinical_boundary
trop2,TACSTD2,TROP-2,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,TACSTD2 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq;scRNA-seq;spatial,Research-use follow-up triage only; clinical decisions require reviewer signoff.
her2,ERBB2,HER2,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,ERBB2 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq;spatial,Research-use follow-up triage only; clinical decisions require reviewer signoff.
her3,ERBB3,HER3,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,ERBB3 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
liv1,SLC39A6,LIV-1,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,SLC39A6 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
nectin4,NECTIN4,Nectin-4,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,NECTIN4 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq;scRNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
b7h3,CD276,B7-H3,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,CD276 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq;spatial,Research-use follow-up triage only; clinical decisions require reviewer signoff.
folr1,FOLR1,Folate receptor alpha,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,FOLR1 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
egfr,EGFR,EGFR,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,EGFR has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq;phospho-protein,Research-use follow-up triage only; clinical decisions require reviewer signoff.
tissue_factor,F3,Tissue factor,adc_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,F3 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
hla_a,HLA-A,HLA-A,immune_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,HLA-A has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Immune-cell expression and protein context are not confirmed.,no_call,HLA typing;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
hla_b,HLA-B,HLA-B,immune_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,HLA-B has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Immune-cell expression and protein context are not confirmed.,no_call,HLA typing;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
hla_c,HLA-C,HLA-C,immune_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,HLA-C has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Immune-cell expression and protein context are not confirmed.,no_call,HLA typing;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
b2m,B2M,B2M,bispecific_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,B2M has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
pdl1,CD274,PD-L1,immune_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,CD274 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Immune-cell expression and protein context are not confirmed.,no_call,IHC;RNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
pd1,PDCD1,PD-1,immune_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,PDCD1 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Immune-cell expression and protein context are not confirmed.,no_call,flow;scRNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
4_1bb,TNFRSF9,4-1BB,immune_context,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,TNFRSF9 has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Immune-cell expression and protein context are not confirmed.,no_call,flow;scRNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
cd3e,CD3E,CD3E,bispecific_antigen,partial_evidence,genomically_supported_expression_unconfirmed,partial_evidence,no_call,no_call,CD3E has first-pass locus callability; CNV and disruptive-variant evidence are no_call.,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,no_call,flow;scRNA-seq,Research-use follow-up triage only; clinical decisions require reviewer signoff.
