check_id,pull_id,dataset_id,sample_or_asset_id,analysis_artifact_path,execution_status,pipeline_confirmation,evidence_asset_count,download_error_count,blocker_category,next_action,clinical_use_allowed
hg008_tumor_wgs_input,hg008_tumor_wgs,giab_hg008,HG008-T,results/clinicalization/known_answer_runs/hg008/input_provenance_summary.json,not_confirmed_input_metadata_only,not_confirmed,3,0,raw_input_and_runner_gap,"Approve transfer plan, fetch HG008-T and HG008-N-D WGS inputs, then implement the non-dry benchmark runner and concordance adapter.",no
hg008_normal_wgs_input,hg008_normal_wgs,giab_hg008,HG008-N-D,results/clinicalization/known_answer_runs/hg008/input_provenance_summary.json,not_confirmed_input_metadata_only,not_confirmed,3,0,raw_input_and_runner_gap,"Approve transfer plan, fetch HG008-T and HG008-N-D WGS inputs, then implement the non-dry benchmark runner and concordance adapter.",no
hg008_tumor_rna_qc,hg008_tumor_rna,giab_hg008,HG008-T_bulk,results/clinicalization/known_answer_runs/hg008/rna_qc_summary.json,not_confirmed_input_metadata_only,not_confirmed,5,0,raw_input_and_runner_gap,"Approve RNA transfer, fetch the selected HG008-T RNA FASTQs, and add the RNA QC or quantification smoke gate.",no
hg008_small_variant_concordance,hg008_small_variant_truth,giab_hg008,HG008-T_somatic_smvar_v0.3,results/clinicalization/known_answer_runs/hg008/small_variant_concordance_summary.json,not_confirmed_truth_assets_verified,not_confirmed,8,0,truth_assets_without_pipeline_calls,Run HG008 tumor-normal WGS through the small-variant caller and compare against the v0.3 truth VCF/callable BED.,no
hg008_sv_cnv_concordance,hg008_sv_cnv_truth,giab_hg008,HG008-T_somatic_stvar_cnv_v0.5,results/clinicalization/known_answer_runs/hg008/sv_cnv_reciprocal_overlap_summary.json,not_confirmed_truth_assets_verified,not_confirmed,10,0,truth_assets_without_pipeline_calls,Run HG008 tumor-normal WGS through SV/CNV callers and compare using reciprocal-overlap rules.,no
colo829_tumor_wgs_input,colo829_tumor_wgs,colo829,COLO829,results/clinicalization/known_answer_runs/colo829/input_provenance_summary.json,not_confirmed_input_metadata_only,not_confirmed,1,0,raw_input_and_runner_gap,"Approve COLO829 transfer, fetch selected tumor-normal WGS inputs, then implement the driver/signature guardrail run.",no
colo829_normal_wgs_input,colo829_normal_wgs,colo829,COLO829BL,results/clinicalization/known_answer_runs/colo829/input_provenance_summary.json,not_confirmed_input_metadata_only,not_confirmed,1,0,raw_input_and_runner_gap,"Approve COLO829 transfer, fetch selected tumor-normal WGS inputs, then implement the driver/signature guardrail run.",no
colo829_sv_cna_concordance,colo829_sv_cna_truth,colo829,COLO829_sv_cna_truth,results/clinicalization/known_answer_runs/colo829/sv_cna_reciprocal_overlap_summary.json,not_confirmed_truth_assets_verified,not_confirmed,4,0,truth_assets_without_pipeline_calls,Run COLO829 tumor-normal WGS through SV/CNA callers and compare against the Zenodo truth assets.,no
colo829_purity_monotonicity,colo829_purity_series,colo829_purity_series,COLO829_purity_selected_levels,results/clinicalization/known_answer_runs/colo829_purity/purity_recall_table_summary.json,not_confirmed_input_metadata_only,not_confirmed,4,0,raw_input_and_runner_gap,"Approve selected dilution transfers, run each level, and compute truth-overlap recall by tumor fraction.",no
seraseq_mrd_positive_negative,seraseq_ctdna_mrd_panel,seraseq_ctdna_mrd,Seraseq_ctDNA_MRD_Panel_Mix,results/clinicalization/known_answer_runs/seraseq_mrd/positive_negative_summary.json,blocked_request_or_purchase,not_confirmed,2,0,request_or_purchase_required,"Request or purchase Seraseq material or variant files, then define assay-specific positive-negative and dilution gates.",no
