target_id,gene_symbol,display_name,target_family,required_sample_layers,primary_no_call_reason,dna_questions,orthogonal_followup,caveat
trop2,TACSTD2,TROP-2,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq;scRNA-seq;spatial,WES/WGS is a first-pass support or blocker lane only.
her2,ERBB2,HER2,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq;spatial,WES/WGS is a first-pass support or blocker lane only.
her3,ERBB3,HER3,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
liv1,SLC39A6,LIV-1,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
nectin4,NECTIN4,Nectin-4,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq;scRNA-seq,WES/WGS is a first-pass support or blocker lane only.
b7h3,CD276,B7-H3,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq;spatial,WES/WGS is a first-pass support or blocker lane only.
folr1,FOLR1,Folate receptor alpha,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
egfr,EGFR,EGFR,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq;phospho-protein,WES/WGS is a first-pass support or blocker lane only.
tissue_factor,F3,Tissue factor,adc_antigen,dna;rna;protein;pathology;clinical_context,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
hla_a,HLA-A,HLA-A,immune_context,dna;rna;protein,Immune-cell expression and protein context are not confirmed.,callability;coding_disruption;focal_loss;hla_loss,HLA typing;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
hla_b,HLA-B,HLA-B,immune_context,dna;rna;protein,Immune-cell expression and protein context are not confirmed.,callability;coding_disruption;focal_loss;hla_loss,HLA typing;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
hla_c,HLA-C,HLA-C,immune_context,dna;rna;protein,Immune-cell expression and protein context are not confirmed.,callability;coding_disruption;focal_loss;hla_loss,HLA typing;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
b2m,B2M,B2M,bispecific_antigen,dna;rna;protein,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
pdl1,CD274,PD-L1,immune_context,dna;rna;protein;pathology,Immune-cell expression and protein context are not confirmed.,callability;coding_disruption;focal_loss;hla_loss,IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
pd1,PDCD1,PD-1,immune_context,rna;protein;pathology,Immune-cell expression and protein context are not confirmed.,callability;coding_disruption;focal_loss;hla_loss,flow;scRNA-seq,WES/WGS is a first-pass support or blocker lane only.
4_1bb,TNFRSF9,4-1BB,immune_context,rna;protein;pathology,Immune-cell expression and protein context are not confirmed.,callability;coding_disruption;focal_loss;hla_loss,flow;scRNA-seq,WES/WGS is a first-pass support or blocker lane only.
cd3e,CD3E,CD3E,bispecific_antigen,rna;protein;pathology,Surface protein abundance and malignant-cell heterogeneity are not confirmed.,callability;coding_disruption;focal_loss;copy_gain;amplification,flow;scRNA-seq,WES/WGS is a first-pass support or blocker lane only.
cdk12,CDK12,CDK12,ddr_transcription_cdk,dna;rna;clinical_context,CDK12/13 dependency and DDR transcriptional context are not validated.,callability;coding_disruption;focal_loss;copy_gain;amplification;loh,RNA-seq;HRR review,WES/WGS is a first-pass support or blocker lane only.
cdk13,CDK13,CDK13,ddr_transcription_cdk,dna;rna;clinical_context,CDK12/13 dependency and DDR transcriptional context are not validated.,callability;coding_disruption;focal_loss;copy_gain;amplification;loh,RNA-seq;HRR review,WES/WGS is a first-pass support or blocker lane only.
ccnk,CCNK,Cyclin K,ddr_transcription_cdk,dna;rna;clinical_context,CDK12/13 dependency and DDR transcriptional context are not validated.,callability;coding_disruption;focal_loss;copy_gain;amplification;loh,RNA-seq,WES/WGS is a first-pass support or blocker lane only.
rb1,RB1,RB1,cell_cycle_resistance,dna;protein;clinical_context,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,IHC;phospho-Rb,WES/WGS is a first-pass support or blocker lane only.
ccne1,CCNE1,Cyclin E1,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;cyclin-E protein,WES/WGS is a first-pass support or blocker lane only.
cdk4,CDK4,CDK4,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;phospho-Rb,WES/WGS is a first-pass support or blocker lane only.
cdk6,CDK6,CDK6,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;phospho-Rb,WES/WGS is a first-pass support or blocker lane only.
ccnd1,CCND1,Cyclin D1,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;cyclin-D1 protein,WES/WGS is a first-pass support or blocker lane only.
cdkn2a,CDKN2A,CDKN2A,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;p16 IHC,WES/WGS is a first-pass support or blocker lane only.
cdkn2b,CDKN2B,CDKN2B,cell_cycle_resistance,dna;rna,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq,WES/WGS is a first-pass support or blocker lane only.
pik3ca,PIK3CA,PI3K alpha,cell_cycle_resistance,dna;clinical_context,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,PI3K pathway review,WES/WGS is a first-pass support or blocker lane only.
akt1,AKT1,AKT1,cell_cycle_resistance,dna;clinical_context,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,PI3K pathway review,WES/WGS is a first-pass support or blocker lane only.
pten,PTEN,PTEN,cell_cycle_resistance,dna;protein;clinical_context,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,IHC;PI3K pathway review,WES/WGS is a first-pass support or blocker lane only.
fgfr1,FGFR1,FGFR1,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;phospho-protein,WES/WGS is a first-pass support or blocker lane only.
fgfr2,FGFR2,FGFR2,cell_cycle_resistance,dna;rna;protein,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,RNA-seq;phospho-protein,WES/WGS is a first-pass support or blocker lane only.
esr1,ESR1,ESR1,cell_cycle_resistance,dna;rna;protein;clinical_context,CDK-pathway dependence and resistance context are not clinically locked.,callability;coding_disruption;focal_loss;copy_gain;amplification;pathway_bypass,ER IHC;RNA-seq,WES/WGS is a first-pass support or blocker lane only.
top1,TOP1,TOP1,payload_context,dna;rna;protein;clinical_context,Payload-specific sensitivity context is not validated.,callability;coding_disruption;focal_loss;copy_gain;pathway_bypass,RNA-seq;protein,WES/WGS is a first-pass support or blocker lane only.
