sample_id,source,tool,tool_version,fraction_genome_altered,aneuploidy_score,mutation_count,tmb_nonsynonymous,scar_proxy_class,sbs3_signature_status,structural_variant_signature_status,hrd_classifier_status,predicted_hrd_class,confidence,caveat
TCGA-3C-AALI-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.7164,22.0,459.0,15.2667,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-A1-A0SO-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.77,,271.0,9.0667,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-A2-A0T0-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.4533,4.0,168.0,5.5667,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-A7-A26H-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.2219,8.0,109.0,3.6667,copy_number_scar_proxy_intermediate,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-A8-A085-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.2398,4.0,61.0,2.0,copy_number_scar_proxy_intermediate,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,suggestive_hrd_like_candidate,moderate_for_processed_public_candidate,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-B6-A0X1-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.8331,13.0,66.0,2.2667,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-D8-A1XL-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.5466,17.0,92.0,3.1,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-LL-A8F5-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.6392,17.0,131.0,4.4333,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,ambiguous_or_incomplete,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-A8-A06R-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.5927,20.0,58.0,1.9333,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,suggestive_hrd_like_candidate,moderate_for_processed_public_candidate,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-AO-A129-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.3991,9.0,109.0,3.6667,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,suggestive_hrd_like_candidate,moderate_for_processed_public_candidate,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-AR-A255-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.6568,25.0,67.0,2.2333,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,suggestive_hrd_like_candidate,moderate_for_processed_public_candidate,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-BH-A203-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.3623,15.0,61.0,2.0333,copy_number_scar_proxy_high,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,suggestive_hrd_like_candidate,moderate_for_processed_public_candidate,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-A2-A0EP-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.0,,9.0,0.3,copy_number_scar_proxy_low,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,low_evidence_negative_candidate,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
TCGA-AC-A2FK-01,cBioPortal TCGA-BRCA PanCancer Atlas sample clinical fields,processed proxy summary,study import 2026-06-05,0.0,0.0,1.0,0.0333,copy_number_scar_proxy_low,not_assessable_from_phase1_processed_data,not_assessable_from_phase1_processed_data,not_run_without_WGS_or_required_feature_matrix,low_evidence_negative_candidate,limited,"FGA/aneuploidy are copy-number scar proxies, not scarHRD/CHORD/HRDetect/SBS3 outputs."
