boundary_id,boundary_type,requirement,current_policy,permitted_report_language,prohibited_language,evidence_dependency,current_status,signoff_status,caveat
intended_use_candidate,assay_claim,Define the assay as a tumor-normal WGS HRD evidence candidate for research/validation use only,Candidate definition only,"This assay candidate is under validation and is not ready for clinical interpretation.","Clinically diagnostic HRD positive; PARP inhibitor eligible; treatment recommendation",Phase 3 WGS baseline plus HG008/COLO829 known-answer validation,candidate_definition_only,not_approved,Final clinical intended use requires laboratory director and clinical reviewer approval.
reportable_range_wgs_hrd,reportable_range,Limit reportable evidence classes to validated small variants allele-specific CNV/LOH SV signatures and integrated HRD features,No reportable range is locked,"Reportable range is not established; unsupported feature classes must be no-called.","Genome-wide HRD score reported as validated; companion diagnostic equivalent",Known-answer fixture pass thresholds plus adapter validation,not_locked,not_approved,Reportable range cannot be locked from SEQC2 mechanics alone.
qc_raw_fastq,qc_gate,Require raw FASTQ or CRAM/BAM provenance identity read-pair integrity checksum or provider validation and expected sample pairing,Phase 3 proves public FASTQ mechanics only,"Raw-data QC must pass before interpretation is attempted.","Proceed despite missing raw provenance or failed sample pairing",Validated raw input manifest and per-sample QC summary,gate_defined_not_validated,not_approved,Diana-specific raw-file inventory is outside this non-Diana clinicalization loop.
qc_alignment_bam,qc_gate,Require alignment reference compatibility duplicate/contamination policy BAM index validity and sufficient coverage,Phase 3 proves representative BAM mechanics only,"Alignment and coverage QC must pass before downstream feature interpretation.","Interpret with failed BAM validation or reference-build mismatch",Known-answer WGS BAM QC and reference compatibility report,gate_defined_not_validated,not_approved,Exact coverage thresholds must be set from validation data.
qc_small_variant,qc_gate,Require validated tumor-normal small-variant calling precision recall normalization and filtering policy,Small-variant WGS lane is mechanically passed but not clinically thresholded,"Small-variant feature extraction is not clinically locked.","Validated pathogenic small-variant result from this candidate pipeline",HG008 small-variant recall/precision fixture and SEQC2 baseline,gate_defined_not_validated,not_approved,Variant pathogenicity interpretation is a separate clinical curation process.
qc_cnv_loh,qc_gate,Require allele-specific CNV/LOH segments with purity ploidy and known-answer overlap,Current coverage CNV bins are not allele-specific segments,"CNV/LOH and scarHRD must be no-called until allele-specific segments are validated.","scarHRD score or biallelic loss call from coverage bins alone",HG008 and COLO829 CNV/LOH fixtures plus primary CNV tool container,gate_defined_not_validated,not_approved,FACETS/ASCAT/PURPLE-style evidence is required before CNV scar interpretation.
qc_sv,qc_gate,Require validated production SV caller VCF/BEDPE with reciprocal-overlap performance,Current SV evidence is BAM-derived counters not a production SV caller VCF,"SV signatures and CHORD/HRDetect SV features must be no-called until SV caller validation passes.","Validated SV signature or CHORD call from BAM evidence counters alone",HG008 and COLO829 SV reciprocal-overlap fixtures plus primary SV caller container,gate_defined_not_validated,not_approved,BAM-derived split/discordant counts are useful plumbing evidence but not a clinical SV feature set.
qc_signature,qc_gate,Require signature matrix QC mutation-count threshold reconstruction quality and known-answer controls,Current SBS matrix lane exists but thresholds are not locked,"Signature interpretation must be no-called when mutation count or reconstruction QC is below locked thresholds.","Validated SBS3 or HRD signature call before threshold validation",SigProfiler adapter validation plus HG008/COLO829 signature guardrails,gate_defined_not_validated,not_approved,COLO829 is a UV/signature guardrail rather than HRD-positive truth.
report_no_call_language,report_language,Require explicit no-call language for every unsupported feature class,No-call language is required,"No call: required validated input or QC threshold is missing; no clinical conclusion should be drawn.","Negative for HRD because feature was not assessed",HRD no-call adapter summary,language_defined_not_approved,not_approved,No-call is not the same as negative.
report_candidate_language,report_language,Restrict positive/suggestive wording until validation and signoff are complete,Only candidate/research language is permitted,"Research candidate evidence only; clinical interpretation is not established.","HRD positive; HRD deficient; clinically actionable",Known-answer validation plus locked thresholds plus reviewer signoff,language_defined_not_approved,not_approved,Treatment-changing language remains prohibited.
prohibit_treatment_recommendation,exclusion,Do not emit therapy eligibility or treatment recommendations from this pipeline,No treatment recommendations allowed,"Treatment decisions require clinician-owned review and validated clinical assay context.","Eligible for PARP inhibitor; recommend platinum; companion diagnostic result",Clinical review and external validated assay context,active_exclusion,not_approved,This pipeline may support evidence review but must not replace clinical decision-making.
reviewer_signoff,signoff,Require laboratory director/clinical reviewer signoff before clinical reporting,No clinical signoff exists,"Not signed off for clinical reporting.","Approved clinical report",CLIA/CAP validation packet and reviewer approval,not_signed_off,not_approved,Signoff is a hard gate independent of pipeline completion.
