check_id,pull_id,dataset_id,fixture_id,public_finding,source_url,analysis_command,analysis_artifact_path,pass_gate,no_call_policy
hg008_tumor_wgs_input,hg008_tumor_wgs,giab_hg008,hg008_small_variants,HG008-T is the first Cancer GIAB tumor sample and should be analyzed as the tumor member of the HG008 tumor-normal WGS pair.,https://www.nist.gov/programs-projects/cancer-genome-bottle,benchmark:known-answer --fixture hg008_small_variants,results/clinicalization/known_answer_runs/hg008/input_provenance_summary.json,status passed sample_id HG008-T role tumor reference build compatible,No-call until HG008-T WGS input files are approved downloaded checksum verified and run.
hg008_normal_wgs_input,hg008_normal_wgs,giab_hg008,hg008_small_variants,HG008-N-D is a paired normal sample for the HG008 tumor and should be analyzed as the normal member of the HG008 tumor-normal WGS pair.,https://www.nist.gov/programs-projects/cancer-genome-bottle,benchmark:known-answer --fixture hg008_small_variants,results/clinicalization/known_answer_runs/hg008/input_provenance_summary.json,status passed sample_id HG008-N-D role normal reference build compatible,No-call until HG008-N-D WGS input files are approved downloaded checksum verified and run.
hg008_tumor_rna_qc,hg008_tumor_rna,giab_hg008,,HG008-T bulk RNA-seq should validate RNA intake and quantification plumbing but is not an HRD-positive truth label.,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/NIST/HG008-T_bulk/20240508p21/UMD_RNA-seq_20250925/,planned smoke:hg008-rna,results/clinicalization/known_answer_runs/hg008/rna_qc_summary.json,status passed RNA FASTQ validation and quantification QC passed,No-call until HG008-T RNA files are approved downloaded checksum verified and run.
hg008_small_variant_concordance,hg008_small_variant_truth,giab_hg008,hg008_small_variants,NIST HG008-T v0.3 somatic small-variant benchmark should support SNV indel recall and precision measurement inside callable regions.,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-smvar_DraftBenchmark_V0.3-20260425/,benchmark:known-answer --fixture hg008_small_variants,results/clinicalization/known_answer_runs/hg008/small_variant_concordance_summary.json,status passed recall precision and reference compatibility reported,No-call until HG008 small-variant truth assets and WGS inputs are approved downloaded checksum verified and run.
hg008_sv_cnv_concordance,hg008_sv_cnv_truth,giab_hg008,hg008_sv_cnv,NIST HG008-T v0.5 somatic SV and CNV benchmark should support reciprocal-overlap SV and CNV correctness summaries.,https://ftp-trace.ncbi.nlm.nih.gov/ReferenceSamples/giab/data_somatic/HG008/Liss_lab/analysis/NIST_HG008-T_somatic-stvar-CNV_DraftBenchmark_V0.5-20260318/,benchmark:known-answer --fixture hg008_sv_cnv,results/clinicalization/known_answer_runs/hg008/sv_cnv_reciprocal_overlap_summary.json,status passed SV and CNV reciprocal-overlap summaries reported,No-call until HG008 SV/CNV truth assets and WGS inputs are approved downloaded checksum verified and run.
colo829_tumor_wgs_input,colo829_tumor_wgs,colo829,colo829_driver_signature,COLO829 is a metastatic melanoma tumor cell line in a documented matched tumor-normal reference standard and should be analyzed as the tumor member.,https://ega-archive.org/studies/EGAS00001001385,benchmark:known-answer --fixture colo829_driver_signature,results/clinicalization/known_answer_runs/colo829/input_provenance_summary.json,status passed sample_id COLO829 role tumor reference build compatible,No-call until COLO829 tumor WGS input files are approved downloaded checksum verified and run.
colo829_normal_wgs_input,colo829_normal_wgs,colo829,colo829_driver_signature,COLO829BL is the matched lymphoblastoid normal line for COLO829 and should be analyzed as the normal member.,https://ega-archive.org/studies/EGAS00001001385,benchmark:known-answer --fixture colo829_driver_signature,results/clinicalization/known_answer_runs/colo829/input_provenance_summary.json,status passed sample_id COLO829BL role normal reference build compatible,No-call until COLO829BL normal WGS input files are approved downloaded checksum verified and run.
colo829_sv_cna_concordance,colo829_sv_cna_truth,colo829,colo829_sv_cna,The COLO829 Zenodo truth set provides final somatic SV truth and copy-number alteration files for independent SV/CNA benchmarking.,https://zenodo.org/records/7515830,benchmark:known-answer --fixture colo829_sv_cna,results/clinicalization/known_answer_runs/colo829/sv_cna_reciprocal_overlap_summary.json,status passed SV and CNA reciprocal-overlap summaries reported,No-call until COLO829 SV/CNA truth assets and WGS inputs are approved downloaded checksum verified and run.
colo829_purity_monotonicity,colo829_purity_series,colo829_purity_series,colo829_purity_series,Selected COLO829 dilution levels should show lower variant or truth-overlap sensitivity as tumor fraction decreases.,https://www.ebi.ac.uk/ena/browser/view/PRJEB27698,benchmark:known-answer --fixture colo829_purity_series,results/clinicalization/known_answer_runs/colo829_purity/purity_recall_table_summary.json,status passed purity recall table reported and monotonicity checked,No-call until selected COLO829 purity inputs labels and truth assets are approved downloaded checksum verified and run.
seraseq_mrd_positive_negative,seraseq_ctdna_mrd_panel,seraseq_ctdna_mrd,,Seraseq ctDNA MRD Panel Mix includes 0 percent 0.5 percent 0.05 percent and 0.005 percent tumor fractions for MRD positive-negative and dilution validation.,https://www.seracare.com/Seraseq-ctDNA-MRD-Panel-Mix-0710-2146/,planned benchmark:seraseq-mrd,results/clinicalization/known_answer_runs/seraseq_mrd/positive_negative_summary.json,status passed 0 percent negative positive tumor fractions detected within assay limits,No-call until Seraseq material or variant files are obtained and assay-specific acceptance ranges are established.
